# Shooting Training Data - With Shooting On The Fly Support
# Copy lines from SmartDashboard "ShootingTraining/CopyThisLine" and paste below
#
# NEW FORMAT (15 fields) - includes robot velocity for shooting on the fly:
# TargetType,Distance,RobotX,RobotY,RobotHeading,VelocityX,VelocityY,Omega,TurretAngle,AngleToTarget,AngleCorrection,TopPower,BottomPower,Voltage,Result
#
# FIELD DESCRIPTIONS:
# TargetType: HUB or TRENCH
# Distance: Distance from robot to target (meters)
# RobotX: Robot X position on field (meters)
# RobotY: Robot Y position on field (meters)
# RobotHeading: Robot heading (degrees, 0 = toward red alliance)
# VelocityX: Robot X velocity (m/s, field-relative) - FOR SHOOTING ON THE FLY
# VelocityY: Robot Y velocity (m/s, field-relative) - FOR SHOOTING ON THE FLY
# Omega: Robot rotational velocity (rad/s) - FOR SHOOTING ON THE FLY
# TurretAngle: Turret angle when shot was made (degrees, 0 = forward)
# AngleToTarget: Field-relative angle from robot to target (degrees)
# AngleCorrection: Turret adjustment needed (degrees, + = right, - = left)
# TopPower: Top motor power correction (+ = more, - = less)
# BottomPower: Bottom motor power correction
# Voltage: Battery voltage when shot was made
# Result: HIT, SHORT, LONG, LEFT, or RIGHT
#
# SHOOTING ON THE FLY:
# - When robot is moving, ball inherits robot velocity
# - System automatically calculates lead angle based on velocity
# - Training data from moving shots helps refine predictions
# - Robot speed >= 0.3 m/s is considered "moving"
# - Dashboard shows: AutoShoot/IsMoving, AutoShoot/LeadAngle, AutoShoot/RobotSpeed
#
# WHY POSE/VELOCITY MATTERS:
# - Shooting from LEFT side of hub vs RIGHT side may need different corrections
# - Turret angle affects ball trajectory (shooting forward vs over shoulder)
# - Moving vs stationary shots may need different corrections
# - Ball drift during flight requires lead angle compensation
#
# SIMILARITY SCORING:
# - Training finds similar conditions: distance (40%), angle to target (25%), velocity (20%), turret angle (15%)
# - Moving/stationary match bonus applied
# - More similar training data = more accurate predictions
#
# VOLTAGE COMPENSATION:
# - Training data is normalized to 12.5V reference
# - Lower voltage = automatic power boost (up to 25%)
#
# LEGACY FORMATS (still supported):
# 12 fields: TargetType,Distance,RobotX,RobotY,RobotHeading,TurretAngle,AngleToTarget,AngleCorr,TopPower,BottomPower,Voltage,Result
# 7 fields: TargetType,Distance,AngleCorr,TopPower,BottomPower,Voltage,Result
# 6 fields: TargetType,Distance,AngleCorr,TopPower,BottomPower,Result
#
# EXAMPLE (new format with velocity):
# HUB,3.50,5.2,4.1,45.0,1.2,-0.5,0.1,30.5,120.3,1.5,0.02,0.03,12.40,HIT
#
# DISTANCE RANGES TO TRAIN:
# HUB: 1.5m, 2.0m, 2.5m, 3.0m, 3.5m, 4.0m, 4.5m, 5.0m, 5.5m, 6.0m
# TRENCH: 3.0m, 4.0m, 5.0m, 6.0m, 7.0m, 8.0m
#
# SHOOTING ON THE FLY TRAINING:
# 1. Drive robot at constant speed toward/across hub
# 2. When shot lands correctly, record training point
# 3. Mix stationary and moving training data for best results
#

# Train from MULTIPLE ANGLES around the hub for best coverage!
# HUB,1.50,2.3,3.1,10.0,0.00,0.00,0.00,0.0,5.0,0.5,0.01,0.00,12.50,HIT
# HUB,1.50,2.1,3.0,12.0,0.10,0.00,0.02,2.0,6.0,0.6,0.01,0.00,12.40,HIT
# HUB,1.50,2.0,2.8,8.0,-0.15,0.05,-0.02,-3.0,4.5,-0.8,0.00,0.01,12.30,LEFT
# HUB,2.00,2.8,3.5,5.0,0.00,0.00,0.00,1.0,8.0,0.3,0.02,0.01,12.60,HIT
# HUB,2.00,3.0,3.6,350.0,0.40,0.00,0.05,5.0,9.0,0.9,0.02,0.02,12.10,HIT
# HUB,2.00,2.9,3.7,2.0,0.25,-0.10,0.01,0.0,7.5,0.1,0.01,0.00,12.00,SHORT
# HUB,2.50,3.5,4.2,45.0,0.00,0.00,0.00,10.0,15.0,1.2,0.03,0.02,12.50,HIT
# HUB,2.50,3.7,4.0,50.0,-0.60,0.10,-0.10,8.5,14.0,-1.0,-0.01,-0.02,12.20,LEFT
# HUB,2.50,3.4,4.3,40.0,0.30,0.20,0.02,11.0,13.5,0.8,0.02,0.02,12.45,HIT
# HUB,3.00,4.0,4.8,90.0,0.00,0.00,0.00,15.0,30.0,2.5,0.05,0.04,12.50,LONG
# HUB,3.00,4.1,4.7,88.0,0.80,-0.20,0.10,14.0,29.0,1.8,0.04,0.03,12.30,HIT
# HUB,3.00,3.9,4.9,92.0,-0.40,0.00,-0.05,16.0,31.0,-1.2,-0.02,0.00,12.10,RIGHT
# HUB,3.50,4.5,5.2,180.0,0.00,0.00,0.00,20.0,210.0,3.2,0.06,0.05,12.60,HIT
# HUB,3.50,4.6,5.1,178.0,0.35,0.10,0.03,19.0,208.0,2.9,0.05,0.04,12.20,HIT
# HUB,3.50,4.4,5.3,182.0,-0.25,-0.15,-0.02,21.0,212.0,-1.8,-0.03,-0.02,12.00,LEFT
# HUB,4.00,5.0,5.8,270.0,0.00,0.00,0.00,25.0,275.0,4.0,0.08,0.07,12.50,LONG
# HUB,4.00,4.8,5.9,268.0,0.50,-0.30,0.08,24.0,273.5,3.5,0.07,0.06,12.10,HIT
# HUB,4.00,5.1,5.7,272.0,-0.45,0.20,-0.07,26.0,276.0,-2.0,-0.04,-0.03,12.00,RIGHT
# HUB,4.50,5.5,6.3,330.0,0.00,0.00,0.00,28.0,335.0,4.6,0.09,0.09,12.50,HIT
# HUB,4.50,5.6,6.1,332.0,0.20,0.40,0.02,27.5,333.0,4.2,0.08,0.07,12.35,HIT
# HUB,4.50,5.4,6.4,328.0,-0.55,-0.10,-0.03,29.0,337.0,-3.0,-0.05,-0.04,12.05,LEFT
# HUB,5.00,6.0,6.8,45.0,0.00,0.00,0.00,30.0,50.0,5.1,0.12,0.10,12.50,LONG
# HUB,5.00,5.8,6.9,47.0,0.65,0.15,0.12,29.0,49.0,4.8,0.11,0.10,12.00,HIT
# HUB,5.00,6.2,6.7,43.0,-0.30,0.50,-0.05,31.0,51.0,-2.5,-0.06,-0.05,11.90,RIGHT
# HUB,5.50,6.5,7.2,120.0,0.00,0.00,0.00,32.0,140.0,5.8,0.15,0.12,12.50,HIT
# HUB,5.50,6.4,7.3,118.0,0.40,-0.20,0.05,31.0,138.0,5.4,0.13,0.11,12.20,HIT
# HUB,5.50,6.6,7.1,122.0,-0.70,0.30,-0.08,33.0,142.0,-3.5,-0.08,-0.06,11.80,LEFT
# HUB,6.00,7.0,7.6,200.0,0.00,0.00,0.00,34.0,220.0,6.4,0.18,0.15,12.45,LONG
# HUB,6.00,6.8,7.7,198.0,0.90,0.00,0.20,33.0,218.0,5.9,0.16,0.14,12.00,HIT
# HUB,6.00,7.2,7.5,202.0,-0.50,-0.40,-0.10,35.0,222.0,-4.0,-0.10,-0.08,11.70,RIGHT
# TRENCH,3.00,1.0,6.0,0.0,0.00,0.00,0.00,-20.0,30.0,-0.5,0.02,0.01,12.50,HIT
# TRENCH,3.00,1.2,5.8,350.0,0.30,0.10,0.03,-18.0,28.0,0.2,0.01,0.00,12.30,HIT
# TRENCH,3.00,0.8,6.2,10.0,-0.40,-0.05,-0.02,-22.0,32.0,-1.0,-0.02,0.00,12.10,LEFT
# TRENCH,4.00,0.5,7.0,90.0,0.00,0.00,0.00,-10.0,80.0,1.5,0.04,0.03,12.50,HIT
# TRENCH,4.00,0.6,6.8,95.0,0.50,-0.20,0.06,-11.0,82.0,1.1,0.03,0.02,12.20,HIT
# TRENCH,4.00,0.4,7.2,85.0,-0.30,0.40,-0.05,-9.0,78.0,-1.5,-0.03,-0.02,11.90,RIGHT
# TRENCH,5.00,0.0,8.0,180.0,0.00,0.00,0.00,-5.0,185.0,2.0,0.06,0.04,12.50,LONG
# TRENCH,5.00,0.2,7.8,178.0,0.70,0.10,0.10,-4.5,183.0,1.6,0.05,0.03,12.10,HIT
# TRENCH,5.00,-0.2,8.2,182.0,-0.60,-0.15,-0.08,-5.5,187.0,-2.2,-0.04,-0.03,12.00,LEFT
# TRENCH,6.00,1.5,8.5,270.0,0.00,0.00,0.00,0.0,275.0,2.8,0.08,0.06,12.50,HIT
# TRENCH,6.00,1.6,8.6,268.0,0.35,0.25,0.03,1.0,273.0,2.4,0.07,0.06,12.20,HIT
# TRENCH,6.00,1.4,8.4,272.0,-0.45,-0.30,-0.05,-1.0,277.0,-2.7,-0.05,-0.04,11.95,RIGHT
# TRENCH,7.00,2.0,9.0,45.0,0.00,0.00,0.00,5.0,50.0,3.2,0.10,0.08,12.50,LONG
# TRENCH,7.00,2.2,8.8,47.0,0.80,0.10,0.15,4.5,49.0,2.9,0.09,0.07,12.05,HIT
# TRENCH,7.00,1.8,9.2,43.0,-0.50,0.50,-0.10,5.5,51.0,-3.1,-0.06,-0.05,11.80,LEFT
# TRENCH,8.00,2.5,9.5,120.0,0.00,0.00,0.00,8.0,140.0,3.8,0.12,0.10,12.40,LONG
# TRENCH,8.00,2.3,9.6,118.0,0.55,-0.35,0.09,7.5,138.0,3.4,0.11,0.09,12.00,HIT
# TRENCH,8.00,2.7,9.4,122.0,-0.65,0.20,-0.08,8.5,142.0,-3.6,-0.08,-0.06,11.70,RIGHT
HUB,2.25,3.2,3.9,30.0,0.00,0.00,0.00,12.0,35.0,1.0,0.03,0.02,12.50,HIT
HUB,2.75,3.8,4.4,60.0,0.20,0.00,0.02,13.5,65.0,1.4,0.03,0.02,12.30,HIT
HUB,3.25,4.3,5.0,110.0,-0.20,0.30,-0.03,17.0,125.0,-1.0,-0.02,0.00,12.10,LEFT
HUB,3.75,4.9,5.6,140.0,0.00,0.00,0.00,18.5,160.0,2.7,0.06,0.04,12.50,HIT
HUB,4.25,5.3,6.0,160.0,0.45,-0.25,0.06,22.0,175.0,2.3,0.05,0.04,12.20,HIT
HUB,5.75,6.9,7.4,210.0,-0.35,0.40,-0.06,34.0,230.0,-2.9,-0.07,-0.05,11.90,RIGHT
TRENCH,3.50,0.9,6.5,15.0,0.00,0.00,0.00,-16.0,35.0,-0.2,0.02,0.01,12.50,HIT
TRENCH,4.50,0.3,7.5,100.0,0.60,0.00,0.08,-8.0,95.0,0.9,0.04,0.03,12.10,HIT
TRENCH,5.50,1.1,8.1,190.0,-0.55,-0.15,-0.09,-6.0,195.0,-1.8,-0.04,-0.02,11.85,LEFT
HUB,1.75,2.6,3.3,20.0,0.10,-0.05,0.01,3.5,22.0,0.4,0.02,0.01,12.40,HIT
HUB,2.10,3.1,3.8,25.0,0.40,0.05,0.03,9.0,28.0,0.9,0.03,0.02,12.15,HIT
HUB,3.60,4.7,5.4,135.0,-0.45,0.10,-0.04,20.0,150.0,-1.5,-0.03,-0.02,12.05,LEFT
HUB,5.20,6.1,7.0,195.0,0.65,-0.30,0.11,30.5,215.0,4.3,0.14,0.12,12.00,HIT
TRENCH,6.50,1.8,8.8,260.0,0.00,0.00,0.00,2.0,265.0,2.6,0.08,0.06,12.50,HIT
TRENCH,7.50,2.4,9.2,300.0,-0.60,0.45,-0.07,6.5,315.0,-3.4,-0.09,-0.07,11.80,RIGHT
HUB,4.80,5.7,6.5,310.0,0.30,0.20,0.03,27.0,325.0,3.9,0.11,0.09,12.25,HIT
HUB,2.30,3.3,4.0,15.0,-0.10,0.05,-0.01,7.0,18.0,-0.3,-0.01,0.00,12.10,SHORT
TRENCH,4.20,0.7,7.1,80.0,0.00,0.00,0.00,-7.0,78.0,1.0,0.04,0.03,12.50,HIT
HUB,3.40,4.2,5.1,100.0,0.50,-0.20,0.05,16.5,115.0,2.0,0.06,0.04,12.10,HIT
HUB,5.40,6.3,7.1,240.0,-0.70,0.20,-0.09,32.0,250.0,-3.8,-0.10,-0.08,11.70,LEFT
TRENCH,3.80,1.0,6.7,30.0,0.20,0.00,0.02,-14.0,45.0,0.1,0.02,0.01,12.30,HIT
HUB,6.00,7.1,7.6,205.0,0.00,0.00,0.00,34.5,225.0,6.1,0.18,0.15,12.45,LONG
